Subject,Description,Category
Login issue,Unable to login with correct password,Account Management
Password reset,Password reset link not working,Account Management
Account locked,Account locked after multiple failed attempts,Account Management
Forgot password,Cannot recover my account password,Account Management
Username issue,Username not recognized during login,Account Management
Profile update,Unable to update profile details,Account Management
Email change,Email update not reflecting in account,Account Management
Two factor issue,OTP not received for login,Account Management
Account access,Account access denied without reason,Account Management
Deactivate account,Need to deactivate my account,Account Management
Login error,Login page keeps refreshing,Account Management
Security alert,Account flagged for suspicious activity,Account Management
Session expired,Session expires immediately after login,Account Management
Account verification,Verification email not received,Account Management
Password mismatch,New password not accepted,Account Management
Account merge,Need to merge two accounts,Account Management
Login delay,Login takes too long to complete,Account Management
Access permission,Permission denied while accessing account,Account Management
Account recovery,Unable to recover old account,Account Management
Change username,Username change not saved,Account Management
Payment failed,Money deducted but transaction failed,Billing Inquiry
Invoice missing,Invoice not generated after payment,Billing Inquiry
Refund request,Refund not processed yet,Billing Inquiry
Billing error,Incorrect billing amount charged,Billing Inquiry
Subscription issue,Subscription charged twice,Billing Inquiry
Payment pending,Payment stuck in pending state,Billing Inquiry
Auto debit,Auto debit failed for subscription,Billing Inquiry
GST invoice,GST invoice not available,Billing Inquiry
Pricing query,Need clarification on pricing plans,Billing Inquiry
Discount issue,Discount coupon not applied,Billing Inquiry
Payment receipt,Payment receipt not received,Billing Inquiry
Late fee,Wrong late fee charged,Billing Inquiry
Upgrade charge,Charged for upgrade without confirmation,Billing Inquiry
Payment gateway,Payment gateway timeout error,Billing Inquiry
Invoice correction,Incorrect details in invoice,Billing Inquiry
Refund delay,Refund taking too long,Billing Inquiry
Billing address,Billing address update not saved,Billing Inquiry
Subscription cancel,Cancellation charged extra,Billing Inquiry
Trial billing,Charged during free trial,Billing Inquiry
Payment confirmation,Payment successful but service not activated,Billing Inquiry
App crash,App crashes when clicking submit,Bug Report
UI bug,Button not clickable on homepage,Bug Report
Form issue,Form does not submit,Bug Report
Notification bug,Notifications not showing,Bug Report
Layout issue,UI layout breaks on mobile,Bug Report
Search bug,Search returns incorrect results,Bug Report
Crash report,App crashes after update,Bug Report
Upload bug,File upload fails,Bug Report
Display error,Text overlaps on screen,Bug Report
Link broken,Help page link broken,Bug Report
Scroll issue,Page scroll freezes,Bug Report
Input bug,Input field not accepting values,Bug Report
Logout bug,Logout button not working,Bug Report
Refresh bug,Page refresh causes error,Bug Report
Validation bug,Validation message incorrect,Bug Report
Popup issue,Popup does not close,Bug Report
Navigation bug,Navigation menu broken,Bug Report
Theme bug,Dark mode not applying,Bug Report
API bug,API returns 500 error,Bug Report
Error message,Wrong error message displayed,Bug Report
Server error,Website shows 500 error,Technical Issue
Performance issue,Website loads very slowly,Technical Issue
Timeout error,Request timeout frequently occurs,Technical Issue
Connection issue,Unable to connect to server,Technical Issue
Database error,Database connection failed,Technical Issue
Latency problem,High response time observed,Technical Issue
Downtime,System unavailable for hours,Technical Issue
Load issue,Heavy load causing failures,Technical Issue
Cache issue,Cache not refreshing properly,Technical Issue
Deployment issue,Issues after new deployment,Technical Issue
Memory leak,Application consumes too much memory,Technical Issue
CPU spike,High CPU usage detected,Technical Issue
Scaling issue,System fails during high traffic,Technical Issue
SSL error,SSL certificate expired,Technical Issue
Server restart,Server restarts unexpectedly,Technical Issue
Network issue,Network connectivity unstable,Technical Issue
Backup issue,Backup process failed,Technical Issue
Configuration error,Wrong server configuration,Technical Issue
Log error,Error logs not generated,Technical Issue
Service crash,Background service crashes,Technical Issue
Feature request,Please add dark mode,Feature Request
Export feature,Need export to PDF option,Feature Request
New dashboard,Request for analytics dashboard,Feature Request
Mobile app,Need mobile app support,Feature Request
Multi language,Add multi language support,Feature Request
Search filter,Advanced search filters required,Feature Request
Notification feature,Email notifications feature needed,Feature Request
Integration request,Need third party integrations,Feature Request
Theme option,More theme customization options,Feature Request
User roles,Add role based access,Feature Request
Bulk upload,Support bulk file upload,Feature Request
Report feature,Downloadable reports needed,Feature Request
Chat support,Add live chat support,Feature Request
AI support,Add AI based suggestions,Feature Request
Auto save,Auto save drafts feature,Feature Request
Reminder feature,Add reminder notifications,Feature Request
History feature,View action history feature,Feature Request
Custom fields,Allow custom fields in forms,Feature Request
Scheduling feature,Schedule tasks in advance,Feature Request
Offline mode,Support offline usage,Feature Request
